iter	Passed	Remaining
0	148	148278
1	154	76873
2	160	53306
3	167	41589
4	172	34369
5	178	29540
6	183	26071
7	187	23235
8	190	20988
9	194	19224
10	197	17730
11	200	16532
12	203	15463
13	206	14519
14	209	13735
15	215	13247
16	217	12596
17	220	12051
18	223	11556
19	226	11098
20	228	10666
21	231	10300
22	234	9963
23	237	9655
24	240	9362
25	242	9095
26	245	8849
27	248	8615
28	250	8387
29	253	8192
30	256	8004
31	258	7829
32	261	7666
33	264	7505
34	267	7364
35	269	7226
36	272	7091
37	275	6966
38	277	6835
39	280	6724
40	282	6613
41	285	6515
42	288	6417
43	291	6324
44	293	6230
45	295	6135
46	298	6051
47	301	5973
48	303	5892
49	306	5819
50	308	5744
51	311	5676
52	314	5612
53	316	5548
54	319	5488
55	322	5429
56	324	5372
57	327	5314
58	330	5263
59	332	5214
60	335	5164
61	337	5109
62	340	5059
63	342	5015
64	345	4973
65	348	4927
66	351	4888
67	353	4847
68	356	4807
69	358	4766
70	361	4731
71	364	4695
72	366	4659
73	369	4624
74	372	4592
75	375	4561
76	377	4528
77	380	4497
78	383	4467
79	385	4436
80	388	4407
81	391	4378
82	393	4350
83	396	4323
84	399	4295
85	401	4267
86	404	4243
87	407	4218
88	408	4185
89	411	4159
90	413	4134
91	416	4112
92	419	4090
93	421	4065
94	424	4042
95	426	4017
96	429	3997
97	431	3975
98	434	3954
99	437	3935
100	440	3918
101	443	3901
102	445	3883
103	448	3867
104	451	3852
105	454	3833
106	457	3816
107	460	3801
108	463	3785
109	466	3770
110	468	3755
111	471	3739
112	474	3724
113	477	3707
114	479	3692
115	482	3678
116	485	3663
117	488	3649
118	490	3631
119	493	3617
120	495	3602
121	498	3586
122	501	3572
123	503	3558
124	506	3543
125	508	3528
126	511	3515
127	514	3504
128	517	3491
129	519	3476
130	522	3464
131	524	3451
132	527	3441
133	530	3427
134	533	3416
135	535	3405
136	538	3393
137	541	3381
138	544	3371
139	547	3361
140	549	3350
141	552	3339
142	557	3339
143	563	3347
144	568	3353
145	574	3360
146	585	3399
147	591	3403
148	597	3413
149	603	3417
150	609	3425
151	615	3431
152	620	3433
153	626	3442
154	632	3447
155	638	3454
156	645	3467
157	652	3478
158	659	3489
159	665	3494
160	671	3498
161	677	3506
162	684	3517
163	691	3523
164	699	3539
165	705	3542
166	709	3537
167	714	3540
168	719	3537
169	723	3532
170	728	3529
171	734	3536
172	742	3550
173	752	3569
174	759	3578
175	764	3579
176	771	3586
177	777	3590
178	784	3596
179	789	3598
180	795	3600
181	803	3611
182	811	3625
183	817	3626
184	823	3628
185	830	3632
186	835	3634
187	842	3636
188	848	3639
189	853	3637
190	857	3634
191	863	3632
192	868	3632
193	873	3631
194	880	3634
195	885	3631
196	893	3642
197	899	3642
198	906	3647
199	911	3647
200	920	3658
201	927	3662
202	933	3663
203	939	3667
204	946	3669
205	966	3724
206	972	3726
207	979	3728
208	985	3729
209	993	3736
210	1001	3744
211	1008	3749
212	1016	3755
213	1024	3762
214	1032	3769
215	1041	3780
216	1050	3792
217	1058	3798
218	1065	3799
219	1073	3806
220	1080	3807
221	1085	3802
222	1089	3797
223	1094	3791
224	1098	3784
225	1104	3783
226	1109	3778
227	1112	3767
228	1119	3768
229	1127	3775
230	1132	3768
231	1139	3772
232	1144	3767
233	1149	3761
234	1153	3754
235	1157	3748
236	1162	3742
237	1169	3744
238	1193	3799
239	1198	3796
240	1203	3790
241	1208	3783
242	1214	3784
243	1221	3785
244	1229	3787
245	1239	3800
246	1258	3837
247	1266	3839
248	1273	3839
249	1280	3842
250	1288	3845
251	1294	3843
252	1300	3839
253	1307	3838
254	1314	3840
255	1319	3835
256	1326	3834
257	1331	3829
258	1337	3827
259	1343	3824
260	1350	3822
261	1355	3817
262	1361	3816
263	1368	3815
264	1374	3811
265	1381	3811
266	1386	3807
267	1393	3806
268	1399	3803
269	1406	3802
270	1412	3799
271	1418	3797
272	1425	3796
273	1432	3795
274	1438	3792
275	1445	3792
276	1453	3793
277	1458	3788
278	1464	3784
279	1470	3781
280	1487	3804
281	1492	3800
282	1502	3805
283	1508	3802
284	1514	3799
285	1521	3798
286	1526	3793
287	1532	3789
288	1539	3787
289	1546	3785
290	1552	3782
291	1558	3779
292	1563	3773
293	1570	3770
294	1580	3777
295	1585	3771
296	1591	3767
297	1597	3763
298	1603	3759
299	1610	3757
300	1615	3751
301	1621	3748
302	1628	3746
303	1643	3763
304	1652	3765
305	1660	3765
306	1668	3767
307	1677	3769
308	1686	3771
309	1695	3774
310	1705	3778
311	1714	3780
312	1722	3780
313	1730	3781
314	1740	3783
315	1750	3788
316	1767	3807
317	1774	3805
318	1783	3806
319	1808	3842
320	1814	3839
321	1820	3832
322	1826	3827
323	1830	3819
324	1833	3807
325	1837	3799
326	1843	3794
327	1848	3786
328	1856	3785
329	1862	3781
330	1868	3775
331	1872	3767
332	1876	3759
333	1881	3751
334	1887	3746
335	1891	3738
336	1902	3741
337	1908	3737
338	1915	3735
339	1921	3730
340	1929	3728
341	1935	3723
342	1940	3717
343	1946	3711
344	1951	3705
345	1959	3704
346	1965	3698
347	1971	3693
348	1976	3687
349	1983	3683
350	1989	3678
351	1995	3674
352	2002	3670
353	2008	3664
354	2014	3660
355	2020	3655
356	2039	3673
357	2045	3667
358	2052	3665
359	2060	3662
360	2067	3658
361	2073	3653
362	2080	3650
363	2087	3646
364	2094	3644
365	2102	3642
366	2111	3641
367	2118	3639
368	2127	3637
369	2134	3634
370	2141	3631
371	2148	3627
372	2156	3624
373	2164	3622
374	2171	3618
375	2180	3618
376	2185	3612
377	2192	3606
378	2210	3622
379	2216	3615
380	2222	3610
381	2228	3605
382	2234	3600
383	2241	3595
384	2246	3589
385	2253	3583
386	2258	3577
387	2264	3572
388	2271	3568
389	2277	3561
390	2284	3558
391	2293	3557
392	2301	3555
393	2311	3555
394	2322	3556
395	2329	3553
396	2337	3550
397	2344	3546
398	2352	3543
399	2361	3542
400	2369	3539
401	2378	3537
402	2387	3537
403	2394	3532
404	2400	3526
405	2405	3519
406	2410	3511
407	2415	3504
408	2420	3497
409	2426	3492
410	2434	3488
411	2438	3480
412	2443	3472
413	2450	3469
414	2456	3463
415	2463	3458
416	2470	3453
417	2476	3447
418	2481	3441
419	2488	3436
420	2493	3429
421	2499	3423
422	2504	3416
423	2510	3411
424	2517	3405
425	2522	3399
426	2527	3392
427	2535	3389
428	2541	3382
429	2547	3376
430	2555	3374
431	2577	3388
432	2582	3381
433	2590	3377
434	2594	3369
435	2600	3364
436	2623	3379
437	2630	3374
438	2636	3369
439	2642	3362
440	2647	3356
441	2653	3349
442	2657	3341
443	2662	3333
444	2668	3327
445	2673	3321
446	2680	3316
447	2686	3310
448	2693	3305
449	2700	3301
450	2709	3298
451	2716	3293
452	2724	3289
453	2731	3285
454	2738	3280
455	2745	3275
456	2753	3271
457	2760	3267
458	2768	3262
459	2777	3260
460	2785	3256
461	2791	3250
462	2796	3243
463	2803	3238
464	2809	3232
465	2816	3227
466	2822	3221
467	2830	3217
468	2850	3227
469	2854	3218
470	2861	3213
471	2867	3208
472	2874	3202
473	2880	3196
474	2886	3190
475	2892	3183
476	2899	3179
477	2905	3173
478	2911	3166
479	2919	3162
480	2925	3156
481	2931	3149
482	2938	3145
483	2944	3138
484	2950	3133
485	2957	3127
486	2963	3121
487	2969	3115
488	2974	3108
489	2981	3103
490	2987	3097
491	2993	3091
492	3000	3085
493	3006	3079
494	3012	3072
495	3018	3067
496	3025	3061
497	3031	3055
498	3037	3049
499	3042	3042
500	3048	3036
501	3054	3030
502	3061	3024
503	3068	3019
504	3072	3011
505	3081	3008
506	3088	3002
507	3093	2996
508	3098	2989
509	3104	2983
510	3109	2976
511	3116	2970
512	3122	2963
513	3193	3019
514	3202	3016
515	3211	3012
516	3218	3006
517	3227	3003
518	3233	2996
519	3237	2988
520	3248	2986
521	3254	2980
522	3265	2978
523	3270	2970
524	3276	2964
525	3282	2957
526	3293	2955
527	3301	2951
528	3306	2943
529	3317	2942
530	3323	2935
531	3332	2931
532	3341	2927
533	3347	2921
534	3354	2915
535	3370	2917
536	3376	2911
537	3382	2904
538	3388	2897
539	3394	2891
540	3408	2891
541	3415	2885
542	3422	2880
543	3429	2874
544	3435	2868
545	3441	2861
546	3448	2856
547	3455	2849
548	3461	2843
549	3469	2838
550	3483	2838
551	3490	2832
552	3496	2826
553	3503	2820
554	3513	2816
555	3520	2811
556	3526	2804
557	3532	2798
558	3538	2791
559	3544	2785
560	3551	2779
561	3557	2772
562	3564	2767
563	3571	2761
564	3579	2756
565	3586	2749
566	3593	2744
567	3598	2736
568	3604	2729
569	3610	2724
570	3618	2718
571	3627	2714
572	3635	2709
573	3641	2702
574	3649	2697
575	3656	2691
576	3663	2685
577	3673	2682
578	3681	2676
579	3687	2670
580	3693	2663
581	3699	2657
582	3705	2650
583	3710	2643
584	3716	2636
585	3721	2629
586	3727	2622
587	3734	2616
588	3740	2610
589	3746	2603
590	3752	2597
591	3759	2590
592	3766	2584
593	3772	2578
594	3778	2571
595	3782	2563
596	3788	2557
597	3794	2550
598	3800	2544
599	3808	2538
600	3814	2532
601	3820	2526
602	3827	2520
603	3834	2513
604	3841	2508
605	3846	2500
606	3855	2496
607	3864	2491
608	3874	2487
609	3881	2481
610	3886	2474
611	3896	2470
612	3901	2462
613	3912	2459
614	3916	2451
615	3920	2444
616	3925	2436
617	3929	2428
618	3947	2429
619	3979	2439
620	3984	2431
621	3989	2424
622	3994	2417
623	4000	2410
624	4006	2404
625	4011	2396
626	4016	2389
627	4021	2382
628	4026	2374
629	4033	2368
630	4051	2369
631	4055	2361
632	4061	2354
633	4069	2348
634	4076	2342
635	4087	2339
636	4093	2332
637	4099	2325
638	4104	2318
639	4109	2311
640	4114	2304
641	4134	2305
642	4140	2299
643	4150	2294
644	4155	2287
645	4162	2281
646	4170	2275
647	4177	2269
648	4185	2263
649	4193	2258
650	4201	2252
651	4209	2246
652	4216	2240
653	4225	2235
654	4233	2229
655	4240	2223
656	4247	2217
657	4270	2219
658	4277	2213
659	4283	2206
660	4290	2200
661	4296	2193
662	4302	2186
663	4315	2183
664	4323	2177
665	4330	2171
666	4339	2166
667	4346	2160
668	4354	2154
669	4362	2148
670	4369	2142
671	4375	2135
672	4383	2129
673	4391	2123
674	4398	2117
675	4404	2111
676	4410	2104
677	4418	2098
678	4425	2092
679	4431	2085
680	4437	2078
681	4443	2071
682	4450	2065
683	4456	2058
684	4463	2052
685	4469	2045
686	4476	2039
687	4483	2033
688	4489	2026
689	4499	2021
690	4506	2015
691	4512	2008
692	4518	2001
693	4524	1995
694	4532	1989
695	4542	1984
696	4549	1977
697	4558	1972
698	4567	1966
699	4588	1966
700	4595	1959
701	4601	1953
702	4606	1946
703	4612	1939
704	4619	1933
705	4624	1925
706	4639	1922
707	4647	1916
708	4654	1910
709	4661	1904
710	4668	1897
711	4674	1890
712	4678	1883
713	4682	1875
714	4686	1868
715	4691	1860
716	4700	1855
717	4706	1848
718	4711	1841
719	4717	1834
720	4722	1827
721	4729	1820
722	4734	1813
723	4739	1806
724	4750	1802
725	4756	1795
726	4763	1788
727	4769	1782
728	4775	1775
729	4782	1768
730	4787	1761
731	4792	1754
732	4799	1748
733	4804	1740
734	4810	1734
735	4816	1727
736	4823	1721
737	4830	1714
738	4836	1708
739	4841	1701
740	4847	1694
741	4853	1687
742	4859	1681
743	4865	1674
744	4870	1667
745	4878	1661
746	4884	1654
747	4891	1647
748	4897	1641
749	4904	1634
750	4910	1628
751	4916	1621
752	4922	1614
753	4927	1607
754	4937	1602
755	4943	1595
756	4951	1589
757	4958	1582
758	4965	1576
759	4971	1569
760	4977	1563
761	4983	1556
762	4989	1549
763	4995	1543
764	5001	1536
765	5008	1529
766	5013	1523
767	5019	1516
768	5026	1510
769	5032	1503
770	5038	1496
771	5046	1490
772	5052	1483
773	5059	1477
774	5066	1470
775	5073	1464
776	5082	1458
777	5089	1452
778	5097	1446
779	5105	1439
780	5113	1434
781	5121	1427
782	5130	1421
783	5137	1415
784	5145	1409
785	5152	1402
786	5160	1396
787	5168	1390
788	5177	1384
789	5186	1378
790	5193	1372
791	5200	1365
792	5208	1359
793	5216	1353
794	5224	1347
795	5232	1340
796	5237	1334
797	5243	1327
798	5250	1320
799	5254	1313
800	5260	1306
801	5265	1299
802	5270	1292
803	5274	1285
804	5281	1279
805	5286	1272
806	5293	1265
807	5300	1259
808	5305	1252
809	5311	1245
810	5320	1239
811	5326	1233
812	5331	1226
813	5337	1219
814	5347	1213
815	5352	1206
816	5358	1200
817	5363	1193
818	5369	1186
819	5373	1179
820	5378	1172
821	5384	1165
822	5388	1158
823	5400	1153
824	5407	1147
825	5415	1140
826	5423	1134
827	5436	1129
828	5448	1123
829	5453	1116
830	5459	1110
831	5464	1103
832	5472	1097
833	5477	1090
834	5482	1083
835	5490	1077
836	5495	1070
837	5503	1063
838	5508	1057
839	5515	1050
840	5521	1043
841	5526	1037
842	5533	1030
843	5540	1024
844	5546	1017
845	5553	1010
846	5559	1004
847	5566	997
848	5572	991
849	5579	984
850	5584	977
851	5590	971
852	5598	964
853	5603	958
854	5609	951
855	5615	944
856	5622	938
857	5628	931
858	5634	924
859	5641	918
860	5646	911
861	5653	905
862	5660	898
863	5665	891
864	5669	884
865	5675	878
866	5689	872
867	5694	866
868	5700	859
869	5706	852
870	5713	846
871	5718	839
872	5724	832
873	5730	826
874	5736	819
875	5742	812
876	5749	806
877	5755	799
878	5762	793
879	5767	786
880	5773	779
881	5778	773
882	5785	766
883	5792	760
884	5798	753
885	5808	747
886	5814	740
887	5819	733
888	5826	727
889	5831	720
890	5839	714
891	5845	707
892	5850	701
893	5856	694
894	5862	687
895	5869	681
896	5875	674
897	5881	668
898	5886	661
899	5892	654
900	5899	648
901	5906	641
902	5912	635
903	5918	628
904	5924	621
905	5931	615
906	5938	608
907	5944	602
908	5950	595
909	5960	589
910	5964	582
911	5975	576
912	5983	570
913	5988	563
914	5994	556
915	6003	550
916	6011	544
917	6016	537
918	6026	531
919	6058	526
920	6111	524
921	6119	517
922	6124	510
923	6129	504
924	6137	497
925	6144	491
926	6172	486
927	6179	479
928	6184	472
929	6189	465
930	6195	459
931	6201	452
932	6207	445
933	6213	439
934	6219	432
935	6225	425
936	6232	419
937	6237	412
938	6243	405
939	6249	398
940	6255	392
941	6260	385
942	6265	378
943	6271	372
944	6279	365
945	6285	358
946	6291	352
947	6297	345
948	6303	338
949	6311	332
950	6319	325
951	6325	318
952	6333	312
953	6340	305
954	6349	299
955	6357	292
956	6364	285
957	6371	279
958	6378	272
959	6386	266
960	6392	259
961	6398	252
962	6404	246
963	6411	239
964	6417	232
965	6423	226
966	6429	219
967	6436	212
968	6443	206
969	6450	199
970	6456	192
971	6463	186
972	6470	179
973	6476	172
974	6482	166
975	6490	159
976	6496	152
977	6502	146
978	6509	139
979	6515	132
980	6521	126
981	6529	119
982	6536	113
983	6544	106
984	6552	99
985	6560	93
986	6568	86
987	6577	79
988	6584	73
989	6592	66
990	6600	59
991	6608	53
992	6616	46
993	6621	39
994	6626	33
995	6633	26
996	6641	19
997	6647	13
998	6656	6
999	6664	0
